screen_name|date|tweet
JLMelenchon|2020-01-25 17:33:29|Il faut censurer le gouvernement ! #ReformeDesRetraites https://t.co/Jx3Y9kUYxR
JLMelenchon|2020-01-25 14:06:31|À #Marseille, on marche pour un logement digne et contre la criminalisation des mouvements sociaux et de solidarité. Soutien à Kevin Vacher. La solidarité est un devoir, pas un délit ! https://t.co/PmUZ7lSPDK
JLMelenchon|2020-01-25 11:18:46|«Best-of» : le Conseil d'Etat flingue la loi retraites https://t.co/JuX21V4IfZ
JLMelenchon|2020-01-24 19:37:31|@EmmanuelMacron Je m'adresse à chacune de vos consciences : impliquez-vous dans l'Histoire de votre patrie. Parce que c'est vous qui la faites. C'est vous qui l'écrivez. La France, c'est son peuple ! Et ce ne sera jamais rien d'autre que son peuple. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:32:43|@EmmanuelMacron En 2022, il faudra d'abord et avant tout changer de République. Le Macronisme n'est possible que parce qu'il y a le système pyramidal de la 5e République.  #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:31:29|@EmmanuelMacron En 2022, il faut chasser Macron, les macronistes et tous ceux qui de près ou de loin ont participé à ce pouvoir. Il nous faut un gouvernement des biens communs et de l'intérêt général. Je sais, quoi qu'il arrive, que notre heure viendra. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:23:51|@EmmanuelMacron L'élection présidentielle de 2022 approche. Et il faut, pour une fois qu'on puisse voter pour et non pas contre. Car il va nous falloir faire un effort énorme pour faire face au changement climatique.  #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:20:03|@EmmanuelMacron Lorsque vous voterez la prochaine fois, demandez-vous qui vous a gâché la vie et qui s'est battu pour l'améliorer.  #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:18:47|@EmmanuelMacron La violence du régime macroniste s'exprime aussi contre la démocratie parlementaire. On nous demande de voter un texte à trous après nous avoir remis un rapport de 1000 pages qu'on est censés lire en 6 jours tout en déposant nos amendements.  #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:14:35|@EmmanuelMacron Lorsqu'il y a des manifestations, il y a une volonté délibérée de faire peur, d'effrayer les gens.  #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:11:51|@EmmanuelMacron Je m'adresse pour la troisième fois au patronat productif de notre pays. Il est temps pour vous de dire que vous n'avez rien à gagner à cette #réformedesretraites qui n'est faite que pour le patronat des entreprises financières.  #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:10:59|Monsieur @EmmanuelMacron, un point de vocabulaire. Je ne parle pas de «dictature», car des dictatures qui arrêtent, torturent, massacrent, assassinent, j'en ai vu de près. Je ne dis pas cela : je parle de régime «autoritaire». #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:06:33|Je dis à monsieur #Macron de réfléchir : certains présidents ont déjà retiré des projets impopulaires. Messieurs Mitterrand et Chirac l'ont fait. #VoeuxJLM https://t.co/c7w7S1yYDx
JLMelenchon|2020-01-24 19:03:08|Vous avez le droit de demander la retraite à 60 ans, comme je le proposais dans mon programme à l'élection présidentielle ! J'ai connu une période où cela existait ! Et la France n'était pas ruinée. #VoeuxJLM https://t.co/c7w7S1yYDx
